Code,Name,Transliteration,English,Korean 한글,Pinyin,Vietnamese
GV,督脉; 督脈,Dumai,Governing Vessel,독맥,dū mài,Đốc mạch
CV,任脉; 任脈,Renmai,Conception Vessel,임맥,rén mài,Nhâm mạch
TV,冲脉; 衝脈,Chongmai,Thrusting Vessel,충맥,chòng mài,Xung mạch
BV,带脉; 帶脈,Daimai,Belt Vessel,대맥,dài mài,Đới mạch
YinHV,陰跷脉; 陰蹺脈,Yinqiaomai,Yin Heel Vessel,음교맥,yīn qiāo mài,Âm kiều
YangHV,陽跷脉; 陽蹺脈,Yangqiaomai,Yang Heel Vessel,양교맥,yáng qiāo mài,Dương kiều
YinLV,陰维脉; 陰維脈,Yinweimai,Yin Link Vessel,음유맥,yīn wéi mài,Âm duy
YangLV,陽维脉; 陽維脈,Yangweimai,Yang Link Vessel,양유맥,yáng wéi mài,Dương duy
